NAME,P9_001N,P9_002N
Geographic Area Name," !!Total:"," !!Total:!!Hispanic or Latino"
"Larkfield-Wikiup CDP, California",8492,2319
"Larkspur city, California",13064,1450
"La Selva Beach CDP, California",2531,389
"Las Flores CDP (Orange County), California",5995,1061
"Las Flores CDP (Tehama County), California",190,106
"Las Lomas CDP, California",3046,2785
"Lathrop city, California",28701,11389
"Laton CDP, California",1622,1194
"La Verne city, California",31334,11185
"La Vina CDP, California",637,590
"Lawndale city, California",31807,20018
"Laytonville CDP, California",1152,146
"Lebec CDP, California",1239,436
"Lee Vining CDP, California",217,109
"Leggett CDP, California",77,17
"Le Grand CDP, California",1592,1330
"Lemon Cove CDP, California",298,82
